epoch,train_loss,val_loss,val_acc,val_macro_f1,lr
1,0.6985260667545455,0.6824407229820887,0.547780678851175,0.5341988418940448,0.00016666666666666666
2,0.6813297980598041,0.6669220348199209,0.6088772845953002,0.6085886804851166,0.0003333333333333333
3,0.6706225584660258,0.6765638967355092,0.5462140992167102,0.5272033477196941,0.0005
4,0.6606459281274251,0.657990833123525,0.6177545691906006,0.6169639988020732,0.0004983095894354857
5,0.6496171723519053,0.6635739852984747,0.5817232375979112,0.5743524540329288,0.0004932612176449559
6,0.6472914548856872,0.6619371453921,0.6381201044386423,0.6012934951799623,0.0004849231551964771
7,0.6363908133336476,0.6608877450227737,0.6219321148825065,0.6217752442641304,0.00047340816008085306
8,0.6336073117596762,0.7012467185656229,0.6318537859007833,0.5839169729329912,0.0004588719528532341
9,0.6283797015036855,0.6659008880456289,0.5796344647519582,0.5723460180735007,0.0004415111107797445
10,0.6167572523866381,0.6557982911666235,0.6224543080939948,0.6206519204745684,0.00042156040946718344
11,0.6148868483092104,0.6759449978669484,0.591644908616188,0.5891577119931172,0.00039928964792569654
12,0.6052981778979302,0.6722922315200169,0.6114882506527415,0.6112540845660701,0.000375
