epoch,train_loss,main_loss,aux_loss,cov_loss,val_loss,val_acc,val_macro_f1,em_mean,mo_mean,ne_mean,lr
1,1.316609195300511,0.69241775061403,2.0806065695626397,0.0001890095216887338,0.691634468237559,0.5984334203655353,0.5871929705057144,0.02118865748246511,0.1947520265976588,0.09160990336289009,0.00016666666666666666
2,1.304902141860553,0.6815481750028474,2.077832006556647,8.68756856237139e-05,0.6725781480471293,0.6151436031331593,0.6043708963104182,0.022218093182891606,0.22068553330997626,0.14988487946490447,0.0003333333333333333
3,1.2964989317314966,0.6746137564735754,2.0728736630507876,0.00046105262424264633,0.6755294402440389,0.5697127937336814,0.5619454777635889,0.03024868674110621,0.24589122670392197,0.15525416216502588,0.0005
4,1.2799714761120933,0.6595929699284689,2.0678558017526356,0.00043485766010625023,0.66282646159331,0.6245430809399478,0.614033479575564,0.028742977355917295,0.2310737919062376,0.1890199750040968,0.0004983095894354857
5,1.26902557185718,0.6505087444824832,2.0617226787975858,0.0,0.6514120697975159,0.6349869451697128,0.6330815274790368,0.0287970708993574,0.19434105046093464,0.18825984994570413,0.0004932612176449559
6,1.2602610690253122,0.6423647250447955,2.0596359831946236,0.00011051307831491743,0.6644922435283661,0.6151436031331593,0.6118651390485086,0.028220305126160382,0.24873597361147404,0.18705925929049652,0.0004849231551964771
7,1.2546468675136566,0.6372987313994339,2.0578270282064164,0.0,0.6559658030668895,0.6412532637075719,0.635815559939753,0.029580361768603326,0.24634782435993355,0.18911773922542732,0.00047340816008085306
8,1.2422242662736347,0.628100733352559,2.0470783625330244,0.0,0.650415359934171,0.64177545691906,0.6356148744155703,0.024005921712766092,0.23540909501413504,0.18213319840530554,0.0004588719528532341
9,1.2302942331348146,0.6180278993078641,2.040887702362878,0.0,0.6743726929028829,0.635509138381201,0.6294438899977821,0.017680449535449345,0.21777607376376787,0.18530655565361182,0.0004415111107797445
10,1.2157936836991992,0.6075138169739928,2.027594627227102,2.910132919039045e-05,0.6606674939393997,0.6203655352480417,0.6203551828748679,0.03304261742159724,0.23169757910072802,0.14532493241131306,0.00042156040946718344
11,1.198544316632407,0.593842174751418,2.0156683785574776,3.2084860971995764e-05,0.7330991744995117,0.6219321148825065,0.6076796830786644,0.029574709199368953,0.22714351912339528,0.16970124306778114,0.00039928964792569654
12,1.178121236179556,0.5778693160840443,2.000839648927961,0.0,0.7037729571262995,0.5822454308093995,0.5797692351580639,0.03062991900369525,0.19850656315684317,0.15540897715836763,0.000375
