epoch,train_loss,val_loss,val_accuracy
1,0.6894235855766705,0.6826915115118026,0.5524804177545692
2,0.6491496005228587,0.6662525236606598,0.5989556135770235
3,0.5759453552109854,0.6917022148768107,0.6015665796344648
4,0.509467411679881,0.7404446939627329,0.5801566579634465
5,0.4456892712307828,0.8317323635021846,0.5921671018276763
6,0.38802489175328186,0.930082094669342,0.570757180156658
7,0.34192434730274335,0.9792808324098587,0.5796344647519582
8,0.2903305686744196,1.2938243259986242,0.554046997389034
9,0.24965377471276692,1.3408677607774735,0.5634464751958225
10,0.21402831239226675,1.496188156803449,0.5697127937336814
11,0.1826804881582835,1.669683027267456,0.5618798955613578
12,0.1644746057888759,1.9463183561960855,0.5592689295039165
13,0.13553436061234347,1.9157936811447143,0.5608355091383812
14,0.11335431936729168,2.115804233153661,0.5608355091383812
15,0.09620272289695485,2.473437849680583,0.5483028720626631
16,0.07903449935672273,2.5930829882621764,0.5415143603133159
17,0.07860776300907933,2.754884296655655,0.5488250652741514
18,0.06267350763082505,2.723400511344274,0.5535248041775457
19,0.060772382647597364,3.0154847383499144,0.5571801566579635
20,0.05162826804277886,3.0964910904566447,0.5509138381201044
21,0.03774713522018699,3.3035121321678163,0.5456919060052219
22,0.03957470505930749,3.2566810568173725,0.5509138381201044
23,0.03383896410856063,3.4290940344333647,0.5420365535248042
24,0.03794263000433732,3.5096094350020093,0.547780678851175
25,0.03910246870613524,3.2206568241119387,0.5545691906005222
26,0.02260822319512954,3.3925049384435018,0.5629242819843342
27,0.018143848178806366,3.688749623298645,0.5509138381201044
28,0.027448454771261562,3.569619369506836,0.5566579634464752
29,0.020955015725277398,3.5408414165178934,0.554046997389034
30,0.021025295424208577,3.5117678602536517,0.5524804177545692
31,0.02356615332594499,3.4755629638830823,0.5535248041775457
32,0.01285906917567315,3.805508037408193,0.5462140992167102
33,0.009025676628672435,4.185228645801544,0.5514360313315927
34,0.01694507206359828,4.066664719581604,0.5509138381201044
35,0.018445775849378215,3.8855093240737917,0.5493472584856397
36,0.018533437385615668,3.38713183204333,0.5509138381201044
37,0.02039728273957735,3.7725600441296896,0.5456919060052219
38,0.016953182541796456,3.9373077313105265,0.5399477806788512
39,0.007921578608069727,4.070820740858713,0.5404699738903395
40,0.0069275441237680625,4.364802674452464,0.5483028720626631
41,0.019559882296328268,3.942124303181966,0.549869451697128
42,0.010915104257141399,3.865468966960907,0.547780678851175
43,0.013713258768205248,3.920741844177246,0.5530026109660574
44,0.021904664620732157,4.01074271996816,0.547780678851175
45,0.010793705817663327,3.978578348954519,0.547780678851175
46,0.006432384263228284,4.113373422622681,0.5446475195822454
47,0.0013317844079470628,4.354813500245412,0.5420365535248042
48,0.0013934484775355875,4.494488143920899,0.5430809399477807
49,0.0004774065042900994,4.651732476552327,0.5441253263707572
50,0.0012219449128874009,4.749778362115224,0.5430809399477807
